asd,Income group,Reg,country
Aruba,High income,Latin America & Caribbean,Aruba
Afghanistan,Low income,South Asia,Afghanistan
Angola,Lower middle income,Sub-Saharan Africa,Angola
Albania,Upper middle income,Europe & Central Asia,Albania
Andorra,High income,Europe & Central Asia,Andorra
United Arab Emirates,High income,Middle East & North Africa,United Arab Emirates
Argentina,Upper middle income,Latin America & Caribbean,Argentina
Armenia,Upper middle income,Europe & Central Asia,Armenia
American Samoa,Upper middle income,East Asia & Pacific,American Samoa
Antigua and Barbuda,High income,Latin America & Caribbean,Antigua and Barbuda
Australia,High income,East Asia & Pacific,Australia
Austria,High income,Europe & Central Asia,Austria
Azerbaijan,Upper middle income,Europe & Central Asia,Azerbaijan
Burundi,Low income,Sub-Saharan Africa,Burundi
Belgium,High income,Europe & Central Asia,Belgium
Benin,Lower middle income,Sub-Saharan Africa,Benin
Burkina Faso,Low income,Sub-Saharan Africa,Burkina Faso
Bangladesh,Lower middle income,South Asia,Bangladesh
Bulgaria,Upper middle income,Europe & Central Asia,Bulgaria
Bahrain,High income,Middle East & North Africa,Bahrain
"Bahamas, The",High income,Latin America & Caribbean,"Bahamas, The"
Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,Bosnia and Herzegovina
Belarus,Upper middle income,Europe & Central Asia,Belarus
Belize,Lower middle income,Latin America & Caribbean,Belize
Bermuda,High income,North America,Bermuda
Bolivia,Lower middle income,Latin America & Caribbean,Bolivia
Brazil,Upper middle income,Latin America & Caribbean,Brazil
Barbados,High income,Latin America & Caribbean,Barbados
Brunei Darussalam,High income,East Asia & Pacific,Brunei Darussalam
Bhutan,Lower middle income,South Asia,Bhutan
Botswana,Upper middle income,Sub-Saharan Africa,Botswana
Central African Republic,Low income,Sub-Saharan Africa,Central African Republic
Canada,High income,North America,Canada
Switzerland,High income,Europe & Central Asia,Switzerland
Channel Islands,High income,Europe & Central Asia,Channel Islands
Chile,High income,Latin America & Caribbean,Chile
China,Upper middle income,East Asia & Pacific,China
Cote d'Ivoire,Lower middle income,Sub-Saharan Africa,Cote d'Ivoire
Cameroon,Lower middle income,Sub-Saharan Africa,Cameroon
"Congo, Dem. Rep.",Low income,Sub-Saharan Africa,"Congo, Dem. Rep."
"Congo, Rep.",Lower middle income,Sub-Saharan Africa,"Congo, Rep."
Colombia,Upper middle income,Latin America & Caribbean,Colombia
Comoros,Lower middle income,Sub-Saharan Africa,Comoros
Cabo Verde,Lower middle income,Sub-Saharan Africa,Cabo Verde
Costa Rica,Upper middle income,Latin America & Caribbean,Costa Rica
Cuba,Upper middle income,Latin America & Caribbean,Cuba
Curacao,High income,Latin America & Caribbean,Curacao
Cayman Islands,High income,Latin America & Caribbean,Cayman Islands
Cyprus,High income,Europe & Central Asia,Cyprus
Czech Republic,High income,Europe & Central Asia,Czech Republic
Germany,High income,Europe & Central Asia,Germany
Djibouti,Lower middle income,Middle East & North Africa,Djibouti
Dominica,Upper middle income,Latin America & Caribbean,Dominica
Denmark,High income,Europe & Central Asia,Denmark
Dominican Republic,Upper middle income,Latin America & Caribbean,Dominican Republic
Algeria,Lower middle income,Middle East & North Africa,Algeria
Ecuador,Upper middle income,Latin America & Caribbean,Ecuador
"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,"Egypt, Arab Rep."
Eritrea,Low income,Sub-Saharan Africa,Eritrea
Spain,High income,Europe & Central Asia,Spain
Estonia,High income,Europe & Central Asia,Estonia
Ethiopia,Low income,Sub-Saharan Africa,Ethiopia
Finland,High income,Europe & Central Asia,Finland
Fiji,Upper middle income,East Asia & Pacific,Fiji
France,High income,Europe & Central Asia,France
Faeroe Islands,High income,Europe & Central Asia,Faeroe Islands
"Micronesia, Fed. Sts.",Lower middle income,East Asia & Pacific,"Micronesia, Fed. Sts."
Gabon,Upper middle income,Sub-Saharan Africa,Gabon
United Kingdom,High income,Europe & Central Asia,United Kingdom
Georgia,Upper middle income,Europe & Central Asia,Georgia
Ghana,Lower middle income,Sub-Saharan Africa,Ghana
Gibraltar,High income,Europe & Central Asia,Gibraltar
Guinea,Low income,Sub-Saharan Africa,Guinea
"Gambia, The",Low income,Sub-Saharan Africa,"Gambia, The"
Guinea-Bissau,Low income,Sub-Saharan Africa,Guinea-Bissau
Equatorial Guinea,Upper middle income,Sub-Saharan Africa,Equatorial Guinea
Greece,High income,Europe & Central Asia,Greece
Grenada,Upper middle income,Latin America & Caribbean,Grenada
Greenland,High income,Europe & Central Asia,Greenland
Guatemala,Upper middle income,Latin America & Caribbean,Guatemala
Guam,High income,East Asia & Pacific,Guam
Guyana,Upper middle income,Latin America & Caribbean,Guyana
"Hong Kong SAR, China",High income,East Asia & Pacific,"Hong Kong SAR, China"
Honduras,Lower middle income,Latin America & Caribbean,Honduras
Croatia,High income,Europe & Central Asia,Croatia
Haiti,Lower middle income,Latin America & Caribbean,Haiti
Hungary,High income,Europe & Central Asia,Hungary
Indonesia,Lower middle income,East Asia & Pacific,Indonesia
Isle of Man,High income,Europe & Central Asia,Isle of Man
India,Lower middle income,South Asia,India
Ireland,High income,Europe & Central Asia,Ireland
"Iran, Islamic Rep.",Lower middle income,Middle East & North Africa,"Iran, Islamic Rep."
Iraq,Upper middle income,Middle East & North Africa,Iraq
Iceland,High income,Europe & Central Asia,Iceland
Israel,High income,Middle East & North Africa,Israel
Italy,High income,Europe & Central Asia,Italy
Jamaica,Upper middle income,Latin America & Caribbean,Jamaica
Jordan,Upper middle income,Middle East & North Africa,Jordan
Japan,High income,East Asia & Pacific,Japan
Kazakhstan,Upper middle income,Europe & Central Asia,Kazakhstan
Kenya,Lower middle income,Sub-Saharan Africa,Kenya
Kyrgyz Republic,Lower middle income,Europe & Central Asia,Kyrgyz Republic
Cambodia,Lower middle income,East Asia & Pacific,Cambodia
Kiribati,Lower middle income,East Asia & Pacific,Kiribati
St. Kitts and Nevis,High income,Latin America & Caribbean,St. Kitts and Nevis
"Korea, Rep.",High income,East Asia & Pacific,"Korea, Rep."
Kuwait,High income,Middle East & North Africa,Kuwait
Lao PDR,Lower middle income,East Asia & Pacific,Lao PDR
Lebanon,Upper middle income,Middle East & North Africa,Lebanon
Liberia,Low income,Sub-Saharan Africa,Liberia
Libya,Upper middle income,Middle East & North Africa,Libya
St. Lucia,Upper middle income,Latin America & Caribbean,St. Lucia
Liechtenstein,High income,Europe & Central Asia,Liechtenstein
Sri Lanka,Lower middle income,South Asia,Sri Lanka
Lesotho,Lower middle income,Sub-Saharan Africa,Lesotho
Lithuania,High income,Europe & Central Asia,Lithuania
Luxembourg,High income,Europe & Central Asia,Luxembourg
Latvia,High income,Europe & Central Asia,Latvia
"Macao SAR, China",High income,East Asia & Pacific,"Macao SAR, China"
St. Martin (French part),High income,Latin America & Caribbean,St. Martin (French part)
Morocco,Lower middle income,Middle East & North Africa,Morocco
Monaco,High income,Europe & Central Asia,Monaco
Moldova,Upper middle income,Europe & Central Asia,Moldova
Madagascar,Low income,Sub-Saharan Africa,Madagascar
Maldives,Upper middle income,South Asia,Maldives
Mexico,Upper middle income,Latin America & Caribbean,Mexico
Marshall Islands,Upper middle income,East Asia & Pacific,Marshall Islands
North Macedonia,Upper middle income,Europe & Central Asia,North Macedonia
Mali,Low income,Sub-Saharan Africa,Mali
Malta,High income,Middle East & North Africa,Malta
Myanmar,Lower middle income,East Asia & Pacific,Myanmar
Montenegro,Upper middle income,Europe & Central Asia,Montenegro
Mongolia,Lower middle income,East Asia & Pacific,Mongolia
Northern Mariana Islands,High income,East Asia & Pacific,Northern Mariana Islands
Mozambique,Low income,Sub-Saharan Africa,Mozambique
Mauritania,Lower middle income,Sub-Saharan Africa,Mauritania
Mauritius,Upper middle income,Sub-Saharan Africa,Mauritius
Malawi,Low income,Sub-Saharan Africa,Malawi
Malaysia,Upper middle income,East Asia & Pacific,Malaysia
Namibia,Upper middle income,Sub-Saharan Africa,Namibia
New Caledonia,High income,East Asia & Pacific,New Caledonia
Niger,Low income,Sub-Saharan Africa,Niger
Nigeria,Lower middle income,Sub-Saharan Africa,Nigeria
Nicaragua,Lower middle income,Latin America & Caribbean,Nicaragua
Netherlands,High income,Europe & Central Asia,Netherlands
Norway,High income,Europe & Central Asia,Norway
Nepal,Lower middle income,South Asia,Nepal
Nauru,High income,East Asia & Pacific,Nauru
New Zealand,High income,East Asia & Pacific,New Zealand
Oman,High income,Middle East & North Africa,Oman
Pakistan,Lower middle income,South Asia,Pakistan
Panama,Upper middle income,Latin America & Caribbean,Panama
Peru,Upper middle income,Latin America & Caribbean,Peru
Philippines,Lower middle income,East Asia & Pacific,Philippines
Palau,High income,East Asia & Pacific,Palau
Papua New Guinea,Lower middle income,East Asia & Pacific,Papua New Guinea
Poland,High income,Europe & Central Asia,Poland
Puerto Rico,High income,Latin America & Caribbean,Puerto Rico
"Korea, Dem. Rep.",Low income,East Asia & Pacific,"Korea, Dem. Rep."
Portugal,High income,Europe & Central Asia,Portugal
Paraguay,Upper middle income,Latin America & Caribbean,Paraguay
West Bank and Gaza,Lower middle income,Middle East & North Africa,West Bank and Gaza
French Polynesia,High income,East Asia & Pacific,French Polynesia
Qatar,High income,Middle East & North Africa,Qatar
Romania,Upper middle income,Europe & Central Asia,Romania
Russian Federation,Upper middle income,Europe & Central Asia,Russian Federation
Rwanda,Low income,Sub-Saharan Africa,Rwanda
Saudi Arabia,High income,Middle East & North Africa,Saudi Arabia
Sudan,Low income,Sub-Saharan Africa,Sudan
Senegal,Lower middle income,Sub-Saharan Africa,Senegal
Singapore,High income,East Asia & Pacific,Singapore
Solomon Islands,Lower middle income,East Asia & Pacific,Solomon Islands
Sierra Leone,Low income,Sub-Saharan Africa,Sierra Leone
El Salvador,Lower middle income,Latin America & Caribbean,El Salvador
San Marino,High income,Europe & Central Asia,San Marino
Somalia,Low income,Sub-Saharan Africa,Somalia
Serbia,Upper middle income,Europe & Central Asia,Serbia
South Sudan,Low income,Sub-Saharan Africa,South Sudan
Sao Tome and Principe,Lower middle income,Sub-Saharan Africa,Sao Tome and Principe
Suriname,Upper middle income,Latin America & Caribbean,Suriname
Slovak Republic,High income,Europe & Central Asia,Slovak Republic
Slovenia,High income,Europe & Central Asia,Slovenia
Sweden,High income,Europe & Central Asia,Sweden
Eswatini,Lower middle income,Sub-Saharan Africa,Eswatini
Sint Maarten (Dutch part),High income,Latin America & Caribbean,Sint Maarten (Dutch part)
Seychelles,High income,Sub-Saharan Africa,Seychelles
Syrian Arab Republic,Low income,Middle East & North Africa,Syrian Arab Republic
Turks and Caicos Islands,High income,Latin America & Caribbean,Turks and Caicos Islands
Chad,Low income,Sub-Saharan Africa,Chad
Togo,Low income,Sub-Saharan Africa,Togo
Thailand,Upper middle income,East Asia & Pacific,Thailand
Tajikistan,Lower middle income,Europe & Central Asia,Tajikistan
Turkmenistan,Upper middle income,Europe & Central Asia,Turkmenistan
Timor-Leste,Lower middle income,East Asia & Pacific,Timor-Leste
Tonga,Upper middle income,East Asia & Pacific,Tonga
Trinidad and Tobago,High income,Latin America & Caribbean,Trinidad and Tobago
Tunisia,Lower middle income,Middle East & North Africa,Tunisia
Turkey,Upper middle income,Europe & Central Asia,Turkey
Tuvalu,Upper middle income,East Asia & Pacific,Tuvalu
Tanzania,Lower middle income,Sub-Saharan Africa,Tanzania
Uganda,Low income,Sub-Saharan Africa,Uganda
Ukraine,Lower middle income,Europe & Central Asia,Ukraine
Uruguay,High income,Latin America & Caribbean,Uruguay
United States,High income,North America,United States
Uzbekistan,Lower middle income,Europe & Central Asia,Uzbekistan
St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean,St. Vincent and the Grenadines
"Venezuela, RB",,Latin America & Caribbean,"Venezuela, RB"
British Virgin Islands,High income,Latin America & Caribbean,British Virgin Islands
Virgin Islands (U.S.),High income,Latin America & Caribbean,Virgin Islands (U.S.)
Vietnam,Lower middle income,East Asia & Pacific,Vietnam
Vanuatu,Lower middle income,East Asia & Pacific,Vanuatu
Samoa,Lower middle income,East Asia & Pacific,Samoa
Kosovo,Upper middle income,Europe & Central Asia,Kosovo
"Yemen, Rep.",Low income,Middle East & North Africa,"Yemen, Rep."
South Africa,Upper middle income,Sub-Saharan Africa,South Africa
Zambia,Lower middle income,Sub-Saharan Africa,Zambia
Zimbabwe,Lower middle income,Sub-Saharan Africa,Zimbabwe
